titulo,parrafo
Fir Clump Stone Circle,"['\n', ' was a ', ' in ', ' near ', ', ', ', in ', '. The ring was part of a ', ' that spread throughout much of Britain, Ireland, and ', ' during the ', ' and Early ', ', over a period between 3300 and 900\xa0', '. The purpose of such monuments is unknown, although some ', ' speculate that the stones represented ', "" entities for the circle's builders.\n"", 'A double concentric circle consisting of ', ' ', ', Fir Clump Stone Circle was oval-shaped. The outer ring measured 107 metres (351\xa0ft) by 86.5 metres (284\xa0ft) in diameter; the inner ring was 86.5 metres (284\xa0ft) by 73.7 metres (242\xa0ft). It was one of at least seven stone circles that are known to have been erected in the area south of ', ' in northern Wiltshire. Around the 1860s, the megaliths in Fir Clump Stone Circle were levelled and in the 1890s the antiquarian A. D. Passmore observed that the circle was no longer visible. Some of the fallen megaliths were rediscovered in 1965 by the archaeologist Richard Reiss, who described and measured the monument. In 1969, these stones were removed during construction of the ']"
Freedom Monument,"['\n', 'The ', ' (', ': ', ', ', ') is located in ', ', ', ', honouring soldiers killed during the ', ' (1918–1920). It is considered an important symbol of the freedom, independence, and sovereignty of Latvia.', ' Unveiled in 1935, the 42-metre (138\xa0ft) high monument of ', ', ', ', and ', ' often serves as the focal point of public gatherings and official ceremonies in Riga.\n', 'The sculptures and ', ' of the monument, arranged in thirteen groups, depict Latvian culture and history. The core of the monument is composed of tetragonal shapes on top of each other, decreasing in size towards the top, completed by a 19-metre (62\xa0ft) high travertine column bearing the copper figure of ', ' lifting three gilded stars. The concept for the monument first emerged in the early 1920s when the Latvian Prime Minister, ', ', ordered rules to be drawn up for a contest for designs of a ""memorial column"". After several contests the monument was finally built at the beginning of the 1930s according to the scheme ""Mirdzi kā zvaigzne!"" (', ') submitted by Latvian sculptor ', '. Construction works were financed by private donations.\n', 'Following the ', ' Latvia was annexed by the ']"
Georgetown Car Barn,"['\n\n\n', 'The ', ', historically known as the ', ', is a building in the ', ' neighborhood of ', ', in the United States. Designed by the architect ', ', it was built between 1895 and 1897 by the ', ' as a ', ' for several Washington and ', ' ', ' lines. The adjacent ', ', later named after their appearance in ', ""'s 1973 horror film "", ', were built during the initial construction to connect ', ' with Prospect Street.\n', ""Intended for dual use as a passenger station and as a storage house for the streetcars, the Car Barn began Washington's only "", ' system. Almost immediately after the building opened, the system was electrified, and the Car Barn was converted to accommodate electric streetcars. Throughout its history as a terminal and storage facility, the Car Barn was never utilized to the extent anticipated by its construction.\n', 'The building has undergone several renovations, the most extensive in 1911, when the original ', ' façade was significantly modified, and the interior was almost completely gutted. Not long after its opening, the building fell into disrepair. Changing ownership over time, it maintained its original function of housing streetcars until 1950, when it was redeveloped as office space. Among its occupants was the ', ', an arm of the ', ', which operated out of the Car Barn in the 1960s and 1970s. Today, it is used as an academic building by ']"
Exelon Pavilions,"['\n', 'The ', ' are four buildings that generate electricity from ', ' and provide access to underground parking in ', ' in the ', ' ', ' of ', ' in ', ', ', ', United States.', ' The ', ' and ', ' (jointly the North Exelon Pavilions) are located on the northern edge of the park along ', ', and flank the ', '. The ', ' and ', ' (jointly the South Exelon Pavilions) are located on the southern edge of the park along Monroe Street, and flank the ', '. Together the pavilions generate 19,840 kilowatt-hours (71,400\xa0MJ) of electricity annually,', ' worth about $2,350 per year.', '\n', 'The four pavilions, which cost ']"
Emesa helmet,"['\n\n\n', 'The ', ' (also known as the ', ') is a ', ' helmet from the early first century AD. It consists of an ', ' head piece and face mask, the latter of which is covered in a sheet of ', ' and presents the individualised portrait of a face, likely its owner. Decorations, some of which are ', ', adorn the head piece. Confiscated by Syrian police soon after looters discovered it amidst a ', ' in the modern-day city of ', ' in 1936, eventually the helmet was ', ' thoroughly at the ', ', and is now in the collection of the ', '. It has been exhibited internationally, although as of 2017, due to the ', ', the more valuable items owned by the National Museum are hidden in underground storage.\n', 'Ornately designed yet highly functional, the helmet was probably intended for both parades and battle. Its delicate covering is too fragile to have been put to use during ', ', but the thick iron core would have defended against blows and arrows. Narrow slits for the eyes, with three small holes underneath to allow downward sight, sacrificed vision for protection; roughly cut notches below each eye suggest a hastily made modification of necessity.\n', 'The helmet was found in a tomb near a monument to a former ', ' and, considering the lavishness of the silver and gold design, likely belonged to a member of the elite. As it is modelled after those helmets used in Roman tournaments, even if unlikely to have ever been worn in one, it may have been given by a Roman official to a ', ' general or, more likely, manufactured in Syria after the Roman style. The ', ' ', ' ornamentation seen on the neck guard recalls that used on Syrian temples, suggesting that the helmet may have been made in the luxury workshops of ']"
Elgin Cathedral,"['\n\n', ' is a historic ruin in ', ', north-east ', '. The cathedral—dedicated to the ', '—was established in 1224 on land granted by King ', ' outside the ', ' of Elgin and close to the ', '. It replaced the cathedral at ', ', 3 kilometres (1.9\xa0mi) to the north, that was served by a small ', ' of eight clerics. The new and bigger cathedral was staffed with 18 ', ' in 1226 and then increased to 23 by 1242. After a damaging fire in 1270, a rebuilding programme greatly enlarged the building. It was unaffected by the ', ' but again suffered extensive fire damage in 1390 following an attack by ', ""'s brother "", ', also known as the Wolf of ', '. In 1402 the cathedral precinct again suffered an incendiary attack by the followers of the ', '. The number of clerics required to staff the cathedral continued to grow, as did the number of craftsmen needed to maintain the buildings and surroundings.\n', 'The cathedral went through periods of enlargement and renovation following the fires of 1270 and 1390 that included the doubling in length of the choir, the provision of outer aisles to the northern and southern walls of both the nave and choir. Today, these walls are at full height in some places and at foundation level in others yet the overall cruciform shape is still discernible. A mostly intact octagonal ', ' dates from the major enlargement after the fire of 1270. The gable wall above the double door entrance that links the west towers is nearly complete and was rebuilt following the fire of 1390. It accommodates a large window opening that now only contains stub tracery work and fragments of a large rose window. Recessed and chest tombs in both transepts and in the south aisle of the choir contain effigies of bishops and knights, and large flat slabs in the now grass-covered floor of the cathedral mark the positions of early graves. The homes of the dignitaries and canons, or ', ', stood in the chanonry and were destroyed by fire on three occasions: in 1270, 1390 and 1402. The two towers of the west front are mostly complete and were part of the first phase of construction. Only the ', ""'s manse is substantially intact while two others have been incorporated into private buildings. A protective wall of massive proportions surrounded the cathedral precinct, but only a small section has survived. The wall had four access gates, one of which—the Pans Port—still exists.\n"", 'The number of canons had increased to 25 by the time of the ']"
Cullen House,"['\n\n\n', ' is a large house, about 1 kilometre (0.6\xa0mi) south-west of the coastal town of ', ' in ', ', Scotland. It was the ', ' of the ', ' of Findlater, who went on to become the ', ', and it remained in their family until 1982. Building work started on the house in 1600, incorporating some of the stonework of an earlier building on the site. The house has been extended and remodelled several times by prominent architects such as ', ', ', ', and ', '. It has been described by the architectural historian ', ' as ""one of the grandest houses in Scotland"" and is designated a ', '. The grounds were enlarged in the 1820s when the entire village of Cullen, save for ', ', was demolished to make way for improvements to the grounds by ', '; a new village, closer to the coast, was constructed for the inhabitants. Within the grounds are a bridge, a ', ' and a ', ', each of which is individually listed as a Category A structure.\n', 'Twice in its history, the house has been captured and ransacked. It was taken by forces acting under the orders of the ', ' in 1645 during the ', '. It was attacked again by ', ' forces during the ', ', shortly before they were defeated at the ']"
Cragside,"['\n\n', ' is a ', ' ', ' near the town of ', ' in ', ', England. It was the home of ', ', founder of the ', ' armaments firm. An industrial ', ', scientist, philanthropist and inventor of the ', ' and the ', ', Armstrong also displayed his inventiveness in the domestic sphere, making Cragside the first house in the world to be lit using ', ' power. The estate was technologically advanced; the architect of the house, ', ', wrote that it was equipped with ""wonderful hydraulic machines that do all sorts of things"".', ' In the grounds, Armstrong built dams and lakes to power a sawmill, a water-powered laundry, early versions of a dishwasher and a ', ', a hydraulic ', ' and a hydroelectric ', '. In 1887, Armstrong was raised to the ', ', the first engineer or scientist to be ennobled, and became Baron Armstrong of Cragside. \n', 'The original building consisted of a small shooting lodge which Armstrong built between 1862 and 1864. In 1869, he employed the architect Richard Norman Shaw to enlarge the site, and in two phases of work between 1869 and 1882, they transformed the house into a northern ', '. The result was described by the architect and writer ', ' as ""one of the most dramatic compositions in all architecture"".']"
Coffin Stone,"['\n', 'The ', ', also known as the ', ' and the ', ', is a large ', ' stone at the foot of ', ' near ', ' in the ', ' county of ', '. Now lying horizontally, the stone probably once stood upright nearby. Various archaeologists have argued that the stone was part of a now-destroyed ', ' constructed in the ', ' ', ', during ', ' period.\n', 'If a chambered long barrow did indeed previously exist on the site, it would have been built by ', ' communities shortly after the ', ' to Britain from continental Europe. ', ' building was an architectural tradition widespread across ', '. It consisted of various localized regional variants; one of these was in the vicinity of the ', ', examples of which are now known as the ', '. The Coffin Stone lies on the eastern side of the river, not far from the chambered long barrows of ']"
Coldrum Long Barrow,"['\n\n\n', 'The ', ', also known as the ', ' and the ', ', is a ', ' located near the village of ', ' in the ', ' county of ', '. Probably constructed in the ', ', during ', ', today it survives only in a state of ']"
Construction of Rockefeller Center,"['\n\n\n', 'The construction of the ', ' complex in New York City was conceived as an ', ' project in the late 1920s, spearheaded by ', ' to help revitalize ', '. Rockefeller Center is on one of ', ""'s former campuses and is bounded by "", ' to the east, ', ' (Avenue of the Americas) to the west, 48th Street to the south, and 51st Street to the north. The center occupies 22 acres (8.9\xa0ha) in total, with some 17\xa0million square feet (1.6\xa0million square meters) of office space.\n', 'Columbia University had acquired the site in the early 19th century but had moved to ', ' in ', ' in the early 1900s. By the 1920s, Fifth Avenue in Midtown Manhattan was a prime site for development. Around that time, the ', ' (Met) was looking for a new site for their opera house, and architect ', ' decided on the former Columbia site.\n', ""Rockefeller eventually became involved in the project and leased the Columbia site in 1928 for 87 years. The lease excluded land along the east side of Sixth Avenue to the west of the Rockefeller property, as well as at the site's southeast corner. He hired Todd, Robertson, and Todd as design consultants and selected the architectural firms of "", ', Hood, Godley & Fouilhoux, and Reinhard & Hofmeister for the opera complex. However, the Met was unsure about moving there, and the ', ' put an end to the plans. Rockefeller instead entered into negotiations with the ', ' (RCA) to create a mass-media complex on the site. A new plan was released in January 1930, and an update to the plan was presented after Rockefeller obtained a lease for the land along Sixth Avenue. Revisions continued until March 1931, when the current site design was unveiled. A late change to the proposal included a complex of internationally themed structures along Fifth Avenue.\n', 'All structures in the original complex were designed in the ', ' architectural style. Excavation of the site started in April 1931, and construction began that September on the first buildings. The first edifice was opened in September 1932, and most of the complex was completed by 1935. The final three buildings were built between 1936 and 1940, although Rockefeller Center was officially completed by November 2, 1939. The construction project employed more than 40,000 people and was considered the largest private construction project at the time. It had cost the equivalent of $1.5 billion in 2020 dollars to construct. Since then, there have been several modifications to the complex. An additional building at ', ' was constructed in 1947, while another at ']"
Egyptian temple,"['\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', ' were built for the official worship of the ', ' and in commemoration of the ', ' in ']"
Clemuel Ricketts Mansion,"['The ', ' (also known as the ', ', the ', ', and ', ') is a ', ' house made of ', ', built in 1852 or 1855 on the shore of ', ' in ', ', ', ', ', ' in the United States. It was home to several generations of the Ricketts family, including ', ' and ', '. Originally built as a hunting lodge, it was also a tavern and post office, and served as part of a hotel for much of the 19th century.\n', ""After 1903 the house served as the Ricketts family's summer home; they kept it even as they sold over 65,000 acres (26,000\xa0ha) to the state of Pennsylvania from 1920 to 1950. The house was included in the "", ' (HABS) in 1936 and listed on the ', "" (NRHP) in 1983. A group of investors bought the lake, surrounding land, and house in 1957 and developed them privately for housing and recreation. The house became the Ganoga Lake Association's clubhouse, and is not open to the public.\n"", 'The original mansion is an L-shaped structure, two-and-a-half stories high, with stone walls 2 feet (0.6\xa0m) thick. It was built in a clearing surrounded by ', ' with a view to the lake 900 feet (270\xa0m) to the east. In 1913 a ', '-story wing was added to the north side of the house and the original structure was renovated. The house has seven rooms, four porches, and its original hardware and woodwork. ', ' and some windows were added in the renovation, and electrical wiring and modern plumbing have been added since. According to the NRHP nomination form, the Clemuel Ricketts Mansion ""is a stunning example of Georgian vernacular architecture"".', '\n']"
Chestnuts Long Barrow,"['\n', ', also known as ', ' or ', ', is a ', ' near the village of ', ' in the ', ' county of ', '. Probably constructed in the ', ', during ', ', today it survives only in a ']"
"Ceilings of the Natural History Museum, London","['\n', '\n', 'A pair of decorated ', ' in the main Central Hall (officially Hintze Hall since 2014) and smaller North Hall of the ', ' in ', "", London, were unveiled at the building's opening in 1881. They were designed by the museum's architect "", ' and painted by the artist ', '. The ceiling of the Central Hall consists of 162 panels, 108 of which depict plants considered significant to the history of the museum, to the ', "" or the museum's visitors and the remainder are highly stylised decorative botanical paintings. The ceiling of the smaller North Hall consists of 36 panels, 18 of which depict plants growing in the "", '. Painted directly onto the plaster of the ceilings, they also make use of ', ' for visual effect.\n', 'The natural history collections had originally shared a building with their parent institution the ', "", but with the expansion of the British Empire there was a significant increase in both public and commercial interest in natural history, and in the number of specimens added to the museum's natural history collections. In 1860 it was agreed that a separate museum of natural history would be created in a large building, capable of displaying the largest specimens, such as whales. The superintendent of the natural history departments, "", ', envisaged that visitors would enter a large central hall containing what he termed an ""index collection"" of representative exhibits, from which other galleries would radiate, and a smaller hall to the north would display the natural history of the British Isles. Waterhouse\'s ', ' design for the museum included decorative painted ceilings. ', ', the ', "", refused to permit the decoration of the ceilings on grounds of cost, but Waterhouse convinced him that provided the painting took place while the scaffolding from the museum's construction was still in place it would incur no extra cost; he further managed to convince Ayrton that the ceiling would be more appealing if elements of the paintings were gilded.\n"", 'The ceiling of the Central Hall consists of six rows of painted panels, three on each side of the roof\'s apex. Above the landing at the southern end of the building, the ceiling is divided into nine-panel blocks. The uppermost three panels in each block consist of what Waterhouse termed ""archaic"" panels, depicting stylised plants on a green background. Each of the lower six panels in each block depicts a plant considered of particular significance to the British Empire, against a pale background. Above the remainder of the Central Hall the archaic panels remain in the same style, but each set of six lower panels depicts a single plant, spreading across the six panels and against the same pale background; these represent plants considered of particular significance either to visitors, or to the history of the museum. The ceiling of the smaller North Hall comprises just four rows of panels. The two uppermost rows are of a simple design of heraldic symbols of the then constituent countries of the United Kingdom; each panel in the lower two rows depicts a different plant found in Britain or Ireland, in keeping with the room\'s intended purpose as a display of British natural history.\n', 'As the ceilings were built cheaply, they are extremely fragile and require regular repair. They underwent significant conservation work in 1924, 1975 and 2016. The restoration in 2016 coincided with the removal of ""', '"", a cast of a ', ' skeleton which had previously stood in the Central Hall, and the installation of the skeleton of a ']"
Cefnllys Castle,"['\n\n', ' (', ': ', ', ', ') was a ', ' ', ' in ', ' (now part of ', '), ', '. Two successive masonry castles were built on a ridge above the ', ' known as ', ' (', ': ', ', ', ""'castle rock') in the thirteenth century, replacing a wooden "", ' constructed by the ', ' nearby. Controlling several communication routes into the highlands of ', ', the castles were strategically important within the ', ' during the ', '. As the seat of the fiercely contested ', ' and ']"
Chetro Ketl,"['\n\n', ' is an ', ' ', ' and archeological site located in ', ', New Mexico, United States. Construction on Chetro Ketl began ', "" and was largely complete by 1075, with significant remodeling occurring in the early and mid-1110s. Following the onset of a severe drought, most Chacoans emigrated from the canyon by 1140; by 1250 Chetro Ketl's last inhabitants had vacated the structure.\n"", 'The great house was rediscovered in 1823 by the ', ', ', ', and in 1849 Lieutenant James Simpson of the ', ' documented the major ruins in Chaco Canyon. ', ', the director of the first archeological field school in the canyon, conducted excavations of Chetro Ketl during 1920 and 1921, and again between 1929 and 1935.\n', 'Chaco scholars estimate that it required more than 500,000\xa0', ', 26,000 trees, and 50 million ', ' blocks to erect Chetro Ketl. The great house is a D-shaped structure; its east wall is 280 feet (85 m) long, and the north wall is more than 450 feet (140 m); the perimeter is 1,540 feet (470\xa0m), and the diameter of the great ', ' is 62.5 feet (19.1\xa0m). Chetro Ketl contained approximately 400 rooms and was the largest great house by area in Chaco Canyon, covering nearly 3 acres (1.2\xa0ha). Chetro Ketl lies 0.4 miles (0.64\xa0km) from ', ', in an area that archeologists call downtown Chaco; they theorize that the area may be an ancestral sacred zone. Chetro Ketl contains architectural elements, such as a ', ' and tower kiva, that appear to reflect a ', ' influence.\n', 'Chetro Ketl\'s purpose is widely debated but many archeologists believe the building was a place of large-scale ceremony that held an important position within the larger Chacoan system. It may have been occupied primarily by groups of priests and, during times of ritual, pilgrims from outlying communities. Archeologist Stephen H. Lekson believes Chetro Ketl was a palace inhabited by Chacoan royalty, and the scale of its construction was motivated by what architects call ""massing"": building imposing structures with the intent to impress onlookers. The building has deteriorated significantly since its rediscovery in the early 19th century, and its usefulness as a source of information about Chacoan culture is slowly diminishing.\n', ""Long ago in the north, below from the Place of Emergence, everybody came out. Now when those who are everyone's chiefs came out they all went out. They went down south\xa0... They went along coming from the north, and they began to make towns."", '\n']"
Chartwell,"['\n\n\n', ' is a ', ' near ', ', ', ', in South East England. For over forty years it was the home of ', '. He bought the property in September 1922 and lived there until shortly before his death in January 1965. In the 1930s, when Churchill was out of political office, Chartwell became the centre of his world. At his dining table, he gathered those who could assist his campaign against ', "" and the British government's response of "", '; in his study, he composed speeches and wrote books; in his garden, he built walls, constructed lakes and painted. During the ', ', Chartwell was largely unused, the Churchills returning after he lost the ', '. In 1953, when again ', "", the house became Churchill's refuge when he suffered a debilitating "", '. In October 1964, he left for the last time, dying at his London home, ', ', on 24 January 1965.\n', 'The origins of the estate reach back to the 14th century; in 1382, the property then called Well-street was owned by William-at-Well. It passed through various owners and in 1836 was auctioned, as a substantial brick-built manor. In 1848, it was purchased by ', "", whose grandson sold it to Churchill. The Campbell Colquhouns greatly enlarged the house and the advertisement for its sale at the time of Churchill's purchase described it as an imposing mansion. Between 1922 and 1924, it was rebuilt and extended by the "", ' architect ', '. From the garden front, the house has extensive views over the ', ', ""the most beautiful and charming"" Churchill had ever seen, and the determining factor in his decision to buy the house.\n', 'In 1946, when financial constraints forced Churchill to consider selling Chartwell, it was acquired by the ', "" with funds raised by a consortium of Churchill's friends led by "", "", on condition that the Churchills retained a life-tenancy. After Churchill's death, ""]"
Catherine de' Medici's building projects,"[' included the ', ' chapel at ', ', the ', ', and the ', ' in Paris, and extensions to the ', ', near ', '. Born in 1519 in Florence to an Italian father and a French mother, ', ' was a daughter of both the ', ' and the ', '. She grew up in Florence and Rome under the wing of the ', ' popes, ', ' and ', '. In 1533, at the age of fourteen, she left Italy and married ', ', the second son of ', ' and ', ' of France. On doing so, she entered the greatest Renaissance court in northern Europe.', ' \n', 'King Francis set his daughter-in-law an example of kingship and artistic patronage that she never forgot.', ' She witnessed his huge architectural schemes at ', ' and ', '. She saw Italian and French craftsmen at work together, forging the style that became known as the first ']"
Castell Coch,"['\n\n\n', ' (', '; ', "" for 'Red Castle') is a 19th-century "", ' castle built above the village of ', ' in ', '. The first castle on the site was built by the Normans after 1081 to protect the newly conquered town of ', ' and control the route along the ', "". Abandoned shortly afterwards, the castle's earth "", ' was reused by ', ' as the basis for a new stone fortification, which he built between 1267 and 1277 to control his freshly annexed Welsh lands. This castle may have been destroyed in the ', ' rebellion of 1314. In 1760, the castle ruins were acquired by ', ', as part of a marriage settlement that brought the family vast estates in South Wales.\n', "", inherited the castle in 1848. One of Britain's wealthiest men, with interests in "", ' and ', ' studies, he employed the architect ', ' to rebuild the castle, ""as a country residence for occasional occupation in the summer"", using the medieval remains as a basis for the design. Burges rebuilt the outside of the castle between 1875 and 1879, before turning to the interior; he died in 1881 and the work was finished by Burges\'s remaining team in 1891. Bute reintroduced commercial ', ' into Britain, planting a vineyard just below the castle, and wine production continued until the ', '. He made little use of his new retreat, and in 1950 his grandson, the ', ', placed it into the care of the state. It is now controlled by the Welsh heritage agency ']"
Capon Chapel,"['\n\n', ' (', ' ', '), also historically known as ', ' and ', ', is a mid-19th century ', ' church located near to the town of ', ', in the ', '. Capon Chapel is one of the oldest existing log churches in ', ', along with ', ' and ']"
